[537226.050746] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8530, bssidx: 0
[537289.037353] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8531, bssidx: 0
[537352.010202] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8532, bssidx: 0
[537415.060604] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8533, bssidx: 0
[537478.058568] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8534, bssidx: 0
[537541.055870] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8535, bssidx: 0
[537604.002974] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8536, bssidx: 0
[537667.051349] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8537, bssidx: 0
[537729.998876] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8538, bssidx: 0
[537793.013427] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8539, bssidx: 0
[537855.987772] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8540, bssidx: 0
[537918.999184] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8541, bssidx: 0
[537982.010415] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8542, bssidx: 0
[538045.040375] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8543, bssidx: 0
[538107.987101] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8544, bssidx: 0
[538171.036634] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8545, bssidx: 0
[538234.013134] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8546, bssidx: 0
[538297.019148] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8547, bssidx: 0
[538359.976419] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8548, bssidx: 0
[538422.963904] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8549, bssidx: 0
[538486.012930] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8550, bssidx: 0
[538548.995237] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8551, bssidx: 0
[538611.994658] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8552, bssidx: 0
[538675.000433] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8553, bssidx: 0
[538737.998441] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8554, bssidx: 0
[538800.941907] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8555, bssidx: 0
[538863.942895] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8556, bssidx: 0
[538926.987976] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8557, bssidx: 0
[538989.932563] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8558, bssidx: 0
[539052.978772] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8559, bssidx: 0
[539115.939382] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8560, bssidx: 0
[539178.939943] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8561, bssidx: 0
[539241.969375] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8562, bssidx: 0
[539304.968923] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8563, bssidx: 0
[539367.964876] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8564, bssidx: 0
[539430.938339] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8565, bssidx: 0
[539493.959437] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8566, bssidx: 0
[539556.956088] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8567, bssidx: 0
[539619.953505] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8568, bssidx: 0
[539682.947326] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8569, bssidx: 0
[539745.917235] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8570, bssidx: 0
[539808.942230] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8571, bssidx: 0
[539871.943194] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8572, bssidx: 0
[539934.940177] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8573, bssidx: 0
[539997.882547] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8574, bssidx: 0
[540060.935522] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8575, bssidx: 0
[540123.932839] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8576, bssidx: 0
[540186.931711] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8577, bssidx: 0
